Company Name,Industry,Symbol,Series,ISIN Code
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
Alivus Life Sciences Ltd.,Healthcare,ALIVUS,EQ,INE03Q201024
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,INE03QK01018
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
